id,summary,term_refs,source,category,appendix_b,merged_from,related
series-includes-finite-sums,日本の「級数」はふつう無限級数を指す。英語の series は有限個の項の和（arithmetic series）にも使う。,infinite-series,editorial,terminology,,,
addition-rule-scope,日本の数A の「確率の加法定理」は排反な事象の P(A ∪ B) = P(A) + P(B) を指し、重なりを引く式は「和事象の確率」として別に扱う。米国（OpenStax）の addition rule は一般の P(A or B) = P(A) + P(B) − P(A and B) を指す。,general-addition-rule,OpenStax Introductory Statistics,terminology,,,
probability-and-or-notation,日本は積事象・和事象を A ∩ B・A ∪ B と集合の記号で書く。米国の統計の教科書（OpenStax）は P(A and B)・P(A or B)（P(A OR B)）と書き、∩・∪ も and・or と読む。,general-addition-rule|intersection-of-events|intersection|union-of-events,OpenStax Introductory Statistics,notation,,,probability-of-intersection|probability-of-union
two-column-proof-format,日本の中学・高校の証明は「仮定」「結論」を書いてから文章で書き、根拠を矢印でつなぐ形式もない。米国の Geometry は Given:・Prove: の見出しのあと statements と reasons を 2 列に並べる two-column proof を使い（1 行目の理由は Given）、文章で書く形を paragraph proof、矢印でつなぐ形を flowchart proof と別に名前で呼ぶ。,hypothesis|two-column-proof|paragraph-proof|flowchart-proof,CK-12 Geometry 2.15|CK-12 Geometry 4.15|editorial,proof-style,30,,
end-of-proof-marker,日本の答案は最後に「（証明終わり）」「終」と書く。英語は This completes the proof. の文で締めるか ∎・□・Q.E.D. を置く。,end-of-proof,editorial,proof-style,6,,qed-end-of-proof
discriminant-letter-d,日本の答案は判別式を D と置いて「D > 0 より」と書く。米国（OpenStax）は文字を置かず b² − 4ac のまま the discriminant と呼んで進める。,discriminant|quadratic-formula,OpenStax Algebra and Trigonometry|OpenStax Calculus,notation,27,,
one-sided-limit-notation,日本の教科書は片側極限を x → a + 0・x → a − 0 と書く。米国は x → a⁺・x → a⁻ と書き、a plus・a minus と読む。,left-hand-limit|right-hand-limit,editorial,notation,,,limit-from-left|limit-from-right
identity-matrix-letter,日本は単位行列を E と書く。英語の教科書は I（次数を添えて Iₙ）と書く。,identity-matrix,OpenStax Algebra and Trigonometry,letters,,,identity-matrix-i
classify-equations-and-systems,日本は連立方程式の解を「ただ 1 組」「不定」「不能」、一次方程式を「解なし」「解は無数」と答える。米国は一次方程式を conditional equation・identity・contradiction、連立方程式を consistent・inconsistent・independent・dependent と分類して答えさせる（分類の仕方は教科書による）。,independent-system|infinitely-many-solutions|number-of-real-solutions|no-solution,OpenStax Elementary Algebra|OpenStax Algebra and Trigonometry,proof-style,,,
gcd-written-in-words,"日本の教科書は最大公約数を gcd(a, b) と記号で書かず言葉で書く。英語の数論や答案は gcd(a, b)（や (a, b)）と書く。",greatest-common-divisor|euclidean-algorithm,editorial,notation,,,gcd-notation
problem-instruction-verbs,日本の問題文は「求めよ」「示せ」「図示せよ」で多くを済ませる。米国は操作ごとに動詞を分け、Find・Evaluate・Solve・Graph・Sketch・Shade・Expand・Condense・Factor・Explain／Justify your answer・Show that・Determine whether … is true or false・Find the exact value（小数でなく正確な値）・Solve the triangle（足りない辺と角をすべて求める）と指示する。,find|evaluate|evaluate-the-integral|draw-a-graph|expand|factor|explain|sketch|solve-the-right-triangle|truth-value|value-of-the-expression|angle-addition-formulas|prove|expanding-and-condensing-logs,OpenStax Algebra and Trigonometry|OpenStax Precalculus|OpenStax Intermediate Algebra|editorial,classroom-culture,20,,
expression-vs-equation-scope,日本語の「式」は等式・不等式も含み、「等式」と「方程式」を言い分ける。英語は等号のないものを expression（solve しない）、等号でつないだものを文字の有無を問わず equation と言う。,expression|equation,editorial,terminology,,,
euler-trail-scope,日本語の「一筆書き」は始点に戻る場合も戻らない場合も含む。英語は Euler trail（path）と Euler circuit（tour）を呼び分け、path の範囲は教科書で違う。,eulerian-path,Levin,terminology,,,
natural-numbers-and-zero,"日本の自然数は 1, 2, 3, … で 0 を含まない。英語の natural number は 0 を含める流儀もあり（教科書・授業による）、whole numbers は 0 を含むので、「自然数解」は positive integer solution と言う。",natural-number|positive-number|real-number|integer-solution,editorial,terminology,,,
normal-distribution-parameter,"日本の教科書は正規分布を N(μ, σ²) と書き、2 つ目に分散を置く。OpenStax は X ~ N(μ, σ) と標準偏差を置く。",normal-distribution,OpenStax Introductory Statistics,notation,,,normal-distribution-n|distributed-as-tilde
quadrant-roman-numerals,日本は第 1 象限〜第 4 象限と算用数字で書く。米国の教科書（OpenStax）は Quadrant I〜IV とローマ数字で書く（番号の付け方は同じ）。,quadrant,OpenStax,notation,,,
number-of-elements-notation,日本の数I は集合の要素の個数を n(A) と書く。英語の本は |A| と書くものと n(A) と書くものがある。,number-of-elements,editorial,notation,,,cardinality-notation
regression-line-letters,日本は直線を y = ax + b（a が傾き）と書く。OpenStax は回帰直線を ŷ = a + bx（a が切片、b が傾き）と書き、a と b の役割が逆になる。,regression-line,OpenStax Introductory Statistics,letters,,,
variance-notation,日本の教科書は分散を V(X) と書く。英語の授業では the variance of X と言葉で言うことが多い。,linear-transformation-of-a-random-variable,editorial,letters,,,variance-of-x
universal-set-and-sample-space,日本は全体集合・全事象を U で表す。米国の高校課程（CED・OpenStax・IM・CK-12）は全体集合を扱わず（Levin は universe と呼ぶ）、確率の標本空間は S とする。,probability|universal-set,CED|OpenStax|IM|CK-12|Levin|editorial,letters,,,
polynomial-includes-monomial,日本の中学は多項式を 2 項以上の和として単項式と区別する。英語の polynomial は monomial も含む（高校の「整式」と同じ範囲）。,monomial|polynomial,editorial,terminology,,,
principal-square-root-includes-zero,日本の「正の平方根」は 0 を含まない。英語の principal square root（√a）は 0 の平方根 0 も含む「負でない平方根」。,principal-square-root,editorial,terminology,,,
rational-function-scope,日本の数III の「分数関数」は (ax + b)/(cx + d) の形が中心。米国の rational function は多項式 ÷ 多項式の関数全般を指す。,rational-function|partial-fraction-decomposition,editorial,terminology,,,
inequality-terms-scope,日本の一次不等式・連立不等式は 1 変数で、2 変数の不等式が表す半平面は数II の「不等式の表す領域」で扱う。英語の linear inequality は y ≤ 2x + 1 のような 2 変数も含み、1 変数の連立不等式は and の compound inequality、system of inequalities は 2 変数の不等式の組をグラフで解くものを指す。,linear-inequality|system-of-inequalities|system-of-linear-inequalities,OpenStax Intermediate Algebra|OpenStax Elementary Algebra|editorial,terminology,,,
trapezoid-definition,日本側の定義は本文に記述がない。米国は教材で台形の定義が割れ、CK-12 Geometry は平行な辺がちょうど 1 組（平行四辺形を含めない）、IM Geometry は少なくとも 1 組（平行四辺形も台形）とする。,parallelogram|trapezoid,CK-12 Geometry|IM Geometry|日本側の定義は生成時に日本の教科書で確かめる,terminology,,,
relatively-prime-pairwise,日本の「互いに素」は 2 つの整数について定義する。英語は 3 つ以上の整数で relatively prime（全体の gcd が 1）と pairwise relatively prime を言い分ける。,relatively-prime,editorial,terminology,,,
justification-for-shortcut-formulas,日本の受験では 1/6 公式などの公式だけで答えを出す。米国の AP の CED は記述問題で justification と supporting work を求めるので、公式は示してから使うか、ふつうに積分して見せる。,one-sixth-formula,CED,proof-style,21,,
p-value-vs-rejection-region,日本の数B は棄却域を使って判断する。米国は p 値を有意水準と比べて判断し、OpenStax Introductory Statistics・AP Statistics の CED とも rejection region を使わない（0 件）。,rejection-region|p-value,OpenStax Introductory Statistics|AP Statistics CED,proof-style,,,
sample-variance-n-minus-1,日本の数I の分散・標準偏差はデータの個数 n で割る。米国の教科書の sample variance（s²）・sample standard deviation（s）は n − 1 で割る。,variance|standard-deviation,OpenStax Introductory Statistics,terminology,,,
rounding-place,日本は「小数第 2 位を四捨五入する」と捨てる位を言う。米国は round to the nearest tenth と残す位を言うので、位が 1 つずれる。,round,editorial,terminology,,,
repeating-decimal-notation,日本は循環節の最初と最後の数字の上に点を打つ（0.1̇23̇）。米国は循環節全体の上に横線を引く（bar notation）。,repeating-decimal,editorial,notation,,,repeating-decimal-bar
set-builder-colon,日本は {x | 条件} と縦棒で書く。英語の本には {x : x > 2} とコロンで書くものもある。,set-builder-notation|set,editorial,notation,,,set-builder-braces
subset-symbol,日本の教科書の ⊂ は等しい場合も含む。英語の本は ⊆ と ⊂（真部分集合）を書き分けるものと、⊂ だけのものがある。,subset,editorial,notation,,,subset-sign|proper-subset-sign
hensachi,日本の学校は成績を偏差値で表す。米国の学校では使わず、近いのは z-score と percentile（英語の standard score は z スコアのこと）。,standard-score|z-score,editorial,classroom-culture,,,
slant-height-vs-generatrix,日本語の「母線」は円錐の側面をつくる線分そのもの。英語の slant height はその長さを指し、正角錐では側面の三角形の高さにも使う。,slant-height,editorial,terminology,,,
zeros-roots-intercepts,"日本の高校は「方程式 P(x) = 0 の解」「x 軸との交点」として扱い、交点は点 (3, 0) で答える。米国は zero（関数）・root（方程式）・x-intercept（グラフ）を使い分け、x-intercept・y-intercept は座標の値（3）だけを指すこともある（どちらで答えるかは問題文による）。",zeros-of-a-polynomial|x-intercept|x-axis|y-axis,editorial,terminology,,,
solution-as-ordered-pair,"日本の教科書は連立方程式の解を x = 2, y = 3 や (x, y) = (2, 3) と書く。英語は The solution is the ordered pair (2, 3). と ordered pair 1 つで言う書き方もする。",solution-pair,editorial,proof-style,,,
dne-in-answers,日本は「極限は存在しない」と書く。米国の答案・教科書は does not exist を DNE と略して書く。,the-limit-does-not-exist,OpenStax Calculus,notation,,,dne-abbreviation
y-prime-vs-dy-dx,日本の答案は y′ と書くことが多い。米国の授業では dy/dx と書くことが多い。,solve-for-y-prime,editorial,notation,13,,derivative-prime|derivative-leibniz
summation-index-letter,日本の数B は Σ の添字に k を使うことが多い。OpenStax Calculus のリーマン和・定積分の節は i を使う。,summation-notation,OpenStax Calculus Volume 1,letters,,,summation-sigma
negative-vs-minus,日本は − を引き算でも負の符号でも「マイナス」と読む。米国は引き算を minus、負の符号を negative と読み分ける（minus three と読むのは英国式）。,negative-number|subtraction|x-coordinate,editorial,notation,7,,negative-sign
special-right-triangles-by-angles,"日本は 30°・60°・90° の三角形や直角二等辺三角形を三角定規の形として覚える。米国は 30-60-90 triangle・45-45-90 triangle と角で呼び、辺を短い方から x, x√3, 2x と書く。",30-60-90-triangle|45-45-90-triangle,CK-12 Geometry|IM Geometry,terminology,,,
area-between-curves-dy-and-parametric,日本の数III は媒介変数表示の曲線で囲まれた面積も同じ積分の単元で扱う。米国は Calc II の parametric curves の単元で別に扱い、2 曲線間の面積では y で積分するやり方（右 − 左）も扱って dx と dy のどちらで積分するかを選ぶ練習をする。,area-between-two-curves,CED topic 8.4|CED topic 8.5|CED topic 8.6|editorial,classroom-culture,,,
characteristic-equation-scope,日本の数B の「特性方程式」は aₙ₊₁ = paₙ + q に対して α = pα + q とおく式を指すことが多い。英語の characteristic equation は 2 階線形漸化式や線形微分方程式の x² = px + q の形の式に使う。,characteristic-equation,editorial,terminology,,,
approximately-equal-notation,日本は近似を ≒ で書く。米国は ≈ で書く。,approximate-value,PLAN 付録 B #2（生成時に参照で確かめ、確かめられなければ外す）,notation,2,,approximately-equal-sign
division-sign-usage,日本は中学以降も ÷ を式に書くことがある。米国は ÷ を小学校までの記号とし、/ か分数の形で書く。,division|fraction,PLAN 付録 B #8（生成時に参照で確かめ、確かめられなければ外す）,notation,8,,division-sign|long-division-bracket
multiplication-sign-usage,日本は × と ・ を掛け算に使う。米国は · か並置で書き、× はベクトルの外積や次元（m × n）に使う。,multiplication|cross-product,PLAN 付録 B #9（生成時に参照で確かめ、確かめられなければ外す）,notation,9,,times-sign
decimal-point-and-digit-grouping,"小数点（3.14）と 3 桁区切りのコンマ（1,000）は日米で同じ。",decimal|place,PLAN 付録 B #10（生成時に参照で確かめ、確かめられなければ外す）,notation,10,,decimal-point
handwritten-digits,日本の手書きは 7 に横棒、1 に旗を付ける。米国は 7 に棒を付けず、1 は縦棒だけで書き、横棒付きの 7 は F や 4 に見えることがある。,,PLAN 付録 B #18（生成時に参照で確かめ、確かめられなければ外す）,handwriting,18,,
handwritten-x-and-z,米国の手書きは z に横棒を付けることが少なく、x と掛け算の × を書き分けることに注意する。,,PLAN 付録 B #19（生成時に参照で確かめ、確かめられなければ外す）,handwriting,19,,
rationalizing-denominators-expectation,日本は答えの分母を必ず有理化する。米国は 1/√2 のまま答えとして認める講師もいる（講師次第）。,rationalizing-the-denominator,PLAN 付録 B #22（生成時に参照で確かめ、確かめられなければ外す）,classroom-culture,22,,
angle-units-degrees-and-radians,日本は度と弧度法を数II で並べて使う。米国は Precalculus から radians が中心で、Calculus は radians だけを使う。,radian|degree-measure,PLAN 付録 B #23（生成時に参照で確かめ、確かめられなければ外す）,classroom-culture,23,,radian-unit
reading-f-of-x,関数の記号 f(x) は日米で同じ。英語では f of x と読む。,function-notation,PLAN 付録 B #26（生成時に参照で確かめ、確かめられなければ外す）,notation,26,,function-f-of-x
sequence-starting-index,日本の数列は初項を a₁ とする。米国は a₁ から始めることも a₀ から始めることも多い。,general-term|sequence,PLAN 付録 B #29（生成時に参照で確かめ、確かめられなければ外す）,notation,29,,a-sub-n|sequence-braces
