id,symbol,ja_reading,en_readings,level,source,category,term_ref,note,related
rationals-symbol,ℚ,有理数全体の集合 Q,the rational numbers ／ the rationals ／ Q,大学|Discrete Math,editorial,sets,rational-number,,
reals-symbol,ℝ ／ ℝ² ／ ℝⁿ,実数全体の集合 R ／ R 2,the real numbers ／ the reals ／ R ／ R two ／ R n,大学|Precalculus|Calculus III|Linear Algebra|Discrete Math,OpenStax 229,sets,real-number,,
complex-numbers-symbol,ℂ,複素数全体の集合 C,the complex numbers ／ C,大学|Linear Algebra,editorial,sets,complex-number,,
set-builder-braces,{x | x > 0},x > 0 を満たす x 全体の集合,the set of all x such that x is greater than zero ／ the set of x such that x is greater than zero,数I|Algebra 1|Algebra 2|Precalculus|Discrete Math,OpenStax 60,sets,set-builder-notation,,set-builder-colon
roster-braces,"{1, 2, 3}","1, 2, 3 を要素とする集合","the set containing one, two, and three ／ the set one, two, three",数I|Algebra 1|Intro Statistics|Discrete Math,editorial,sets,set,,
cardinality-notation,n(A)（日本）／ |A|,A の要素の個数 ／ n(A),the number of elements in A ／ the cardinality of A ／ n of A,数A|Intro Statistics|Discrete Math,editorial,sets,number-of-elements,,number-of-elements-notation
cartesian-product-cross,A × B,A と B の直積,A cross B ／ the Cartesian product of A and B,大学|Discrete Math,editorial,sets,cartesian-product,× は掛け算・外積と共有するので probe は空,
power-set-notation,𝒫(A),A のべき集合,the power set of A ／ P of A,大学|Discrete Math,editorial,sets,power-set,,
set-difference,A ∖ B ／ A − B,A から B を除いた集合（日本の高校では A ∩ B̄）,A minus B ／ the set difference of A and B ／ A without B,大学|Discrete Math,editorial,sets,,,
closed-interval-brackets,"[a, b]",閉区間 a b ／ a 以上 b 以下,"the closed interval from a to b ／ the closed interval a, b",数III|Algebra 1|Precalculus|AP Calculus AB|Calculus I,editorial,sets,closed-interval,"日本の高校は a ≦ x ≦ b と書くことが多い（数III の平均値の定理で [a, b]）",interval-notation-vs-inequalities
open-interval-parentheses,"(a, b)",開区間 a b ／ a より大きく b より小さい,"the open interval from a to b ／ the open interval a, b",数III|Algebra 1|Precalculus|AP Calculus AB|Calculus I,editorial,sets,open-interval,"点 (a, b) と同じ形",interval-notation-vs-inequalities
half-open-interval,"[a, b)",a 以上 b 未満の区間,"the interval from a to b, including a but not b ／ the half-open interval from a to b ／ a closed, b open",大学|Algebra 1|Precalculus,editorial,sets,interval-notation,,interval-notation-vs-inequalities
implies-arrow,p ⇒ q ／ p → q,p ならば q,"p implies q ／ if p, then q",数I|Geometry|Discrete Math,OpenStax 82|CK-12 12,logic,conditional-statement,米国の幾何・離散数学は p → q も使う,
iff-arrow,p ⇔ q ／ p ↔ q,p と q は同値 ／ p ⇔ q,p if and only if q ／ p is equivalent to q ／ p iff q,数I|Geometry|Discrete Math,OpenStax 12|CK-12 4,logic,biconditional,,
negation-sign,¬p ／ ~p ／ p̄（日本）,p でない ／ p バー ／ p の否定,not p ／ the negation of p,数I|Geometry|Discrete Math,CK-12 28,logic,negation,日本の数I は上線 p̄。米国の幾何は ~p,logic-notation
logical-and-wedge,p ∧ q,p かつ q,p and q,大学|Geometry|Discrete Math,CK-12 59,logic,logical-connective,日本の高校は言葉で「かつ」,logic-notation
logical-or-vee,p ∨ q,p または q,p or q,大学|Geometry|Discrete Math,CK-12 78,logic,logical-connective,,logic-notation
for-all-quantifier,∀x,すべての x について,for all x ／ for every x ／ for each x,大学|Discrete Math,editorial,logic,universal-quantifier,,logic-notation
there-exists-quantifier,∃x,ある x が存在して,there exists an x ／ there exists x such that ／ there is an x,大学|Discrete Math,editorial,logic,existential-quantifier,,logic-notation
therefore-sign,∴,ゆえに,therefore ／ so,中2|数I|Geometry|Discrete Math,OpenStax 3|CK-12 9,logic,,PLAN 付録 B #5。conventions/therefore-because-symbols と対,therefore-because-symbols
because-sign,∵,なぜならば,because ／ since,中2|数I,editorial,logic,,米国ではほぼ使わない（conventions/therefore-because-symbols）,therefore-because-symbols
qed-end-of-proof,∎ ／ □ ／ Q.E.D.（日本では（証明終））,証明終わり,Q E D ／ end of proof ／ which completes the proof,中2|数I|Geometry|Discrete Math,editorial,logic,end-of-proof,PLAN 付録 B #6,end-of-proof-marker
congruence-mod,a ≡ b (mod n) ／ a mod n,a と b は n を法として合同 ／ a 合同 b モッド n,a is congruent to b mod n ／ a is congruent to b modulo n ／ a mod n,数A|Discrete Math,editorial,number-theory,congruence-modulo-n,MEXT の ≡ は図形の合同（congruent-sign）,
divides-bar,a | b,a は b を割り切る ／ a は b の約数,a divides b ／ a is a divisor of b,大学|Discrete Math,OpenStax 5,number-theory,divisibility,日本の高校は言葉で書く,
gcd-notation,"gcd(a, b) ／ GCF(a, b)",a と b の最大公約数,the gcd of a and b ／ the greatest common divisor of a and b ／ the GCF of a and b,数A|Pre-Algebra|Discrete Math,editorial,number-theory,greatest-common-divisor,米国の Pre-Algebra は GCF（greatest common factor）,gcd-written-in-words
lcm-notation,"lcm(a, b) ／ LCM(a, b)",a と b の最小公倍数,the lcm of a and b ／ the least common multiple of a and b,数A|Pre-Algebra|Discrete Math,OpenStax 90,number-theory,least-common-multiple,,
vector-arrow-notation,a⃗ ／ v（太字）,ベクトル a,vector a ／ the vector a ／ a vector,数C|Precalculus|Calculus III|Linear Algebra,editorial,vectors,vector,日本は矢印、米国の教科書は太字（手書きは矢印）,vector-notation
vector-ab-arrow,AB⃗,ベクトル AB,vector AB ／ the vector from A to B,数C|Precalculus|Calculus III,CK-12 34,vectors,vector,米国の幾何では同じ形が半直線 AB（ray-ab-arrow）,
angle-bracket-vector,"⟨a, b⟩（日本では (a, b)）","成分表示 (a, b) ／ ベクトル a b","the vector a, b ／ the vector with components a and b ／ angle bracket a, b",数C|Precalculus|Calculus III,OpenStax 36,vectors,component-form,,vector-notation
unit-vector-hat,"î, ĵ, k̂ ／ û",i ハット ／ 単位ベクトル,i hat ／ j hat ／ k hat ／ u hat,大学|Precalculus|Calculus III,OpenStax 2,vectors,standard-unit-vectors,"OpenStax は i, j, k を太字で書き hat を付けない",standard-unit-vector-letters
vector-magnitude-bars,‖v‖（日本では |a⃗|）,ベクトル a の大きさ,the magnitude of v ／ the norm of v ／ the length of v,数C|Precalculus|Calculus III|Linear Algebra,OpenStax 1104,vectors,magnitude,,
dot-product-dot,a⃗ · b⃗,a ドット b ／ a と b の内積,a dot b ／ the dot product of a and b,数C|Precalculus|Calculus III|Linear Algebra,OpenStax 6690|CED 183|CED-Stats 228|CK-12 267,vectors,dot-product,· は掛け算とも共有,
cross-product-cross,u × v,u クロス v ／ u と v の外積,u cross v ／ the cross product of u and v,大学|Calculus III|Linear Algebra,editorial,vectors,cross-product,× は掛け算とも共有するので probe は空,
projection-notation,proj_v u,u の v への正射影ベクトル,the projection of u onto v ／ proj v of u ／ the vector projection of u onto v,数C|Precalculus|Calculus III|Linear Algebra,OpenStax 224|CED-Stats 1|CK-12 12,vectors,vector-projection,,
matrix-brackets,[a b; c d]（日本では ( ) で囲む）,行列 a b c d,"the matrix a, b, c, d ／ the two-by-two matrix with entries a, b, c, d ／ the matrix with rows a b and c d",数C|大学|Algebra 2|Precalculus|Linear Algebra,OpenStax 8014,matrices,matrix,,
matrix-dimensions-by,2 × 3 行列 ／ m × n,2 行 3 列の行列 ／ m 行 n 列,a two-by-three matrix ／ an m by n matrix,数C|大学|Algebra 2|Precalculus|Linear Algebra,OpenStax 43,matrices,matrix,× を by と読む,
matrix-entry-aij,aᵢⱼ,"a i j ／ (i, j) 成分",a sub i j ／ a i j ／ the i j entry of A,数C|大学|Linear Algebra,OpenStax 8,matrices,entry,,
determinant-notation,det A ／ |A|,行列式 A ／ デターミナント A,the determinant of A ／ det A ／ the det of A,大学|Precalculus|Linear Algebra,OpenStax 48,matrices,determinant,,
transpose-notation,Aᵀ（日本では ᵗA も）,A の転置 ／ A トランスポーズ ／ t A,A transpose ／ the transpose of A,大学|Linear Algebra,editorial,matrices,transpose,,
matrix-inverse-notation,A⁻¹,A インバース ／ A の逆行列,A inverse ／ the inverse of A,数C|大学|Precalculus|Linear Algebra,OpenStax 130,matrices,inverse-matrix,,
identity-matrix-i,I ／ Iₙ（日本では E）,単位行列 E,the identity matrix ／ I ／ I sub n ／ the n by n identity matrix,数C|大学|Precalculus|Linear Algebra,OpenStax 34|CK-12 1,matrices,identity-matrix,日本の高校・大学初年次は E,identity-matrix-letter
probability-of-a,P(A),A の確率 ／ P(A),the probability of A ／ P of A,数A|Algebra 2|AP Statistics|Intro Statistics,OpenStax 76|CED-Stats 3,probability-statistics,probability,,
conditional-probability-bar,P(A | B),B が起こったときの A の条件付き確率,the probability of A given B ／ P of A given B,数A|Algebra 2|AP Statistics|Intro Statistics,OpenStax 29,probability-statistics,conditional-probability,,conditional-probability-notation
conditional-probability-subscript-jp,P_A(B),A が起こったときの B が起こる条件付き確率 ／ P A B,the probability of B given A ／ P of B given A,数A,editorial,probability-statistics,conditional-probability,JP-only: 日本の表記。米国の教科書では使わない（読みは米国の言い方を併記）。添字が条件（米国の P(B | A)）で、文字の順が逆,conditional-probability-notation
probability-of-intersection,P(A ∩ B),A かつ B の確率 ／ P(A キャップ B),the probability of A and B ／ P of A intersect B ／ the probability of A intersect B,数A|Algebra 2|AP Statistics|Intro Statistics,OpenStax 48|CED-Stats 4,probability-statistics,intersection-of-events,OpenStax Introductory Statistics は P(A AND B) と書く,probability-and-or-notation
probability-of-union,P(A ∪ B),A または B の確率 ／ P(A カップ B),the probability of A or B ／ P of A union B ／ the probability of A union B,数A|Algebra 2|AP Statistics|Intro Statistics,OpenStax 15|CED-Stats 2,probability-statistics,union-of-events,OpenStax Introductory Statistics は P(A OR B) と書く,probability-and-or-notation
probability-x-equals-k,P(X = k),X = k となる確率,the probability that X equals k ／ P of X equals k,数B|AP Statistics|Intro Statistics,OpenStax 26|CED-Stats 2,probability-statistics,probability-distribution,,
expected-value-e-of-x,E(X) ／ μ_X,X の期待値 ／ E(X),the expected value of X ／ E of X ／ the mean of X ／ mu sub X,数B|AP Statistics|Intro Statistics,OpenStax 5|CED-Stats 1,probability-statistics,expected-value,AP Statistics は μ_X も使う,
variance-of-x,V(X)（日本）／ Var(X) ／ σ²,X の分散 ／ V(X),the variance of X ／ var of X ／ sigma squared,数B|AP Statistics|Intro Statistics,OpenStax 534|CED 6|CED-Stats 107|CK-12 77,probability-statistics,variance,日本は V(X),variance-notation
standard-deviation-sigma,σ ／ σ(X) ／ σ_X,シグマ ／ X の標準偏差,sigma ／ the standard deviation of X ／ sigma sub X ／ sigma of X,数I|数B|AP Statistics|Intro Statistics,OpenStax 767|CED-Stats 36,probability-statistics,standard-deviation,日本は σ(X)、米国は σ_X,
mu-population-mean,μ（日本の数B では m）,ミュー ／ 母平均 m,mu ／ the population mean,数B|AP Statistics|Intro Statistics,OpenStax 1032|CED-Stats 58,probability-statistics,population-mean,日本の数B は母平均を m と書く,
x-bar-sample-mean,x̄ ／ X̄,x バー ／ 標本平均 X̄,x bar ／ the sample mean,数I|数B|AP Statistics|Intro Statistics,OpenStax 334,probability-statistics,sample-mean,,
p-hat-sample-proportion,p̂（OpenStax Introductory Statistics では p′）,p ハット ／ 標本比率,p hat ／ the sample proportion ／ p prime,数B|AP Statistics|Intro Statistics,OpenStax 21,probability-statistics,sample-proportion,日本の数B の標本比率の記号（R など）は教科書で要確認,
y-hat-predicted-value,ŷ,y ハット ／ 予測値,y hat ／ the predicted value of y,Algebra 1|AP Statistics|Intro Statistics,OpenStax 97,probability-statistics,regression-line,,
s-sample-sd,s ／ sₓ,s ／ 標本標準偏差,s ／ s sub x ／ the sample standard deviation,数I|数B|AP Statistics|Intro Statistics,OpenStax 477|CED 1,probability-statistics,standard-deviation,1 文字の記号,
r-squared,r²,r の 2 乗 ／ 決定係数,r squared ／ the coefficient of determination,Algebra 1|AP Statistics|Intro Statistics,OpenStax 1397|CED 1|CED-Stats 2|CK-12 26,probability-statistics,coefficient-of-determination,,
normal-distribution-n,"N(μ, σ)（日本では N(m, σ²)）","正規分布 N(m, σ²)",the normal distribution with mean mu and standard deviation sigma ／ N of mu comma sigma ／ normal with mean mu and standard deviation sigma,数B|AP Statistics|Intro Statistics,OpenStax 19,probability-statistics,normal-distribution,第 2 引数が日本は分散、AP Statistics は標準偏差,normal-distribution-parameter
binomial-distribution-b,"B(n, p)","二項分布 B(n, p)",the binomial distribution with n trials and success probability p ／ binomial with parameters n and p ／ B of n comma p,数B|AP Statistics|Intro Statistics,OpenStax 7,probability-statistics,binomial-distribution,,
distributed-as-tilde,"X ~ N(μ, σ)","X は N(μ, σ) に従う","X is distributed as N of mu, sigma ／ X follows a normal distribution ／ X is normally distributed with mean mu and standard deviation sigma",数B|AP Statistics|Intro Statistics,OpenStax 281,probability-statistics,distribution,日本は記号でなく「に従う」と書く,normal-distribution-parameter
z-star-critical-value,z* ／ t*,臨界値 z,z star ／ t star ／ the critical value,AP Statistics|Intro Statistics,OpenStax 2|CED-Stats 2,probability-statistics,critical-value,,
chi-square-symbol,χ²,カイ 2 乗,chi-square ／ chi-squared,AP Statistics|Intro Statistics,OpenStax 60|CED-Stats 4,probability-statistics,chi-square-test,chi は kai と読む,
h-naught-null,H₀,帰無仮説 H₀ ／ エイチ ゼロ,H naught ／ H zero ／ H sub zero ／ the null hypothesis,数B|AP Statistics|Intro Statistics,OpenStax 340|CED-Stats 33,probability-statistics,null-hypothesis,,
h-sub-a-alternative,Hₐ ／ H₁,対立仮説 H₁ ／ エイチ ワン,H sub a ／ H a ／ H one ／ the alternative hypothesis,数B|AP Statistics|Intro Statistics,OpenStax 251|CED-Stats 1,probability-statistics,alternative-hypothesis,日本は H₁、AP Statistics は Hₐ,
df-degrees-of-freedom,df,自由度,d f ／ degrees of freedom,大学|AP Statistics|Intro Statistics,OpenStax 180|CED-Stats 8,probability-statistics,degrees-of-freedom,,
se-standard-error,SE ／ SE(x̄),標準誤差,S E ／ the standard error ／ the standard error of x bar,大学|AP Statistics|Intro Statistics,OpenStax 57|CED 113|CED-Stats 127,probability-statistics,standard-error,,
quartile-q1-q3,Q₁ ／ Q₃,第 1 四分位数 Q₁,Q one ／ Q sub one ／ the first quartile ／ Q three,中2|数I|Algebra 1|AP Statistics|Intro Statistics,OpenStax 40|CED-Stats 39,probability-statistics,quartile,,
iqr-abbreviation,IQR,四分位範囲,I Q R ／ the interquartile range,中2|Algebra 1|AP Statistics|Intro Statistics,OpenStax 74|CED-Stats 29,probability-statistics,interquartile-range,,
alpha,α,アルファ,alpha,数I|数II|Geometry|Algebra 2|Precalculus|AP Statistics,OpenStax 3443|CED-Stats 18,notation-other,,AP Statistics では有意水準 α,
beta,β,ベータ,beta,数I|数II|Precalculus|AP Statistics,OpenStax 2386,notation-other,,米音は BAY-tuh,
gamma,γ,ガンマ,gamma,数II|Precalculus,OpenStax 331,notation-other,,,
delta-lowercase,δ,デルタ,delta,大学|Calculus I,OpenStax 479|CK-12 1,notation-other,epsilon-delta-definition,ε-δ 論法,
epsilon,ε,イプシロン,epsilon,大学|Calculus I,OpenStax 517,notation-other,epsilon-delta-definition,,
lambda,λ,ラムダ,lambda,大学|Linear Algebra|Calculus III|Intro Statistics,OpenStax 475,notation-other,eigenvalue,固有値・ラグランジュ乗数・ポアソン分布,
rho,ρ,ロー,rho,大学|Calculus III|AP Statistics,OpenStax 1586,notation-other,,米音は row。球座標・母相関係数,
phi,φ ／ ϕ,ファイ,phi,大学|Calculus III,OpenStax 871,notation-other,,米音は fie と fee の両方,
omega,ω,オメガ,omega,数II|Precalculus,OpenStax 354,notation-other,,日本の数II は 1 の虚立方根 ω,
imaginary-unit-i,i,アイ ／ 虚数単位 i,i ／ the imaginary unit,数II|Algebra 2|Precalculus,学習指導要領〔用語・記号〕数II i,complex-numbers,imaginary-unit,MEXT〔記号〕i。1 文字なので probe は空,
complex-a-plus-bi,a + bi,a たす b i,a plus b i,数II|Algebra 2|Precalculus,editorial,complex-numbers,complex-number,,
complex-conjugate-bar,z̄,z バー ／ z の共役複素数,z bar ／ the conjugate of z ／ the complex conjugate of z ／ z conjugate,数II|数C|Precalculus|Linear Algebra,OpenStax 41,complex-numbers,complex-conjugate,,
complex-modulus-bars,|z|,z の絶対値,the modulus of z ／ the absolute value of z ／ the magnitude of z,数C|Precalculus,OpenStax 45,complex-numbers,modulus-of-a-complex-number,,
argument-arg-z,arg z,z の偏角 ／ アーグ z,the argument of z ／ arg z,数C|Precalculus,editorial,complex-numbers,argument-of-a-complex-number,,
polar-form-cis,r(cos θ + i sin θ) ／ r cis θ,極形式 r(cos θ + i sin θ),r times cosine theta plus i sine theta ／ r cis theta,数C|Precalculus,OpenStax 87,complex-numbers,polar-form,cis は米国の Precalculus の略記,
pi-symbol,π,パイ ／ 円周率,pi,中1|Pre-Algebra|Geometry,学習指導要領〔用語・記号〕中1 π|OpenStax 15819|CED 15|CK-12 137,geometry,pi,MEXT〔記号〕π,
degree-sign,30°,30 度,thirty degrees,中1|Pre-Algebra|Geometry,OpenStax 2744|CK-12 992,geometry,degree-measure,,
parallel-sign,AB // CD（米国では AB ∥ CD）,AB 平行 CD ／ AB と CD は平行,AB is parallel to CD ／ line AB is parallel to line CD,中1|Geometry,学習指導要領〔用語・記号〕中1 //|OpenStax 279|CK-12 43,geometry,parallel,MEXT〔記号〕//,
perpendicular-sign,AB ⊥ CD,AB 垂直 CD ／ AB と CD は垂直,AB is perpendicular to CD ／ line AB is perpendicular to line CD,中1|Geometry,学習指導要領〔用語・記号〕中1 ⊥|OpenStax 12|CK-12 34,geometry,perpendicular,MEXT〔記号〕⊥,
angle-abc,∠ABC,角 ABC,angle ABC,中1|Geometry,学習指導要領〔用語・記号〕中1 ∠|OpenStax 88|CK-12 838,geometry,angle,MEXT〔記号〕∠,
measure-of-angle,m∠ABC,角 ABC の大きさ,the measure of angle ABC ／ m angle ABC,Geometry,CK-12 321,geometry,,米国の幾何は角そのもの（∠ABC）と大きさ（m∠ABC）を分ける。日本は ∠ABC = 40° と書く,figure-and-measure-notation
triangle-abc,△ABC,三角形 ABC,triangle ABC,中1|Geometry,学習指導要領〔用語・記号〕中1 △|OpenStax 7|CK-12 230,geometry,triangle,MEXT〔記号〕△。CK-12 は ΔABC と書く,
congruent-sign,△ABC ≡ △DEF（米国では ≅）,三角形 ABC 合同 三角形 DEF,triangle ABC is congruent to triangle DEF,中2|Geometry,学習指導要領〔用語・記号〕中2 ≡|OpenStax 2|CK-12 266,geometry,congruent,MEXT〔記号〕≡。米国の ≡ は合同式・恒等,congruence-symbol
similar-sign,△ABC ∽ △DEF（米国では ∼）,三角形 ABC 相似 三角形 DEF,triangle ABC is similar to triangle DEF,中3|Geometry,学習指導要領〔用語・記号〕中3 ∽|OpenStax 29|CED-Stats 5|CK-12 127,geometry,similar,MEXT〔記号〕∽,similarity-symbol
segment-ab-overline,AB̅（線分 AB）,線分 AB,segment AB ／ line segment AB,Geometry,CK-12 416,geometry,segment,日本は「線分 AB」と言葉で書く,figure-and-measure-notation
length-ab,AB（長さ）,線分 AB の長さ ／ AB,A B ／ the length of AB ／ the length of segment AB,中1|Geometry,editorial,geometry,,米国の幾何は上線なしの AB を長さ（数）として使い分ける,figure-and-measure-notation
line-ab-arrow,AB⃡,直線 AB,line AB,Geometry,OpenStax 10|CK-12 43,geometry,line,日本は「直線 AB」と言葉で書く,figure-and-measure-notation
ray-ab-arrow,AB⃗（米国の幾何では半直線）,半直線 AB,ray AB,Geometry,CK-12 34,geometry,ray,日本の AB⃗ はベクトル（vector-ab-arrow）,
arc-ab,⌒AB ／ AB⌢,弧 AB,arc AB ／ the measure of arc AB,中1|Geometry,editorial,geometry,arc,,arc-measure-notation
circle-o,⊙O,円 O,circle O,中1|Geometry,editorial,geometry,circle,日本は「円 O」と言葉で書く,
parallelogram-abcd,▱ABCD（日本では □ABCD とも）,平行四辺形 ABCD,parallelogram ABCD,中2|Geometry,editorial,geometry,parallelogram,,
prime-label-image,A′ ／ A″,A ダッシュ ／ A ツーダッシュ,A prime ／ A double prime,中1|Pre-Algebra|Geometry,OpenStax 20|CK-12 89,geometry,image,移動後の点。日本語はダッシュ、英語は prime,
ordered-pair,"(x, y) ／ P(3, 4)","点 (x, y) ／ 点 P(3, 4)","the point x, y ／ the ordered pair x, y ／ the point three comma four ／ P at three, four",中1|Pre-Algebra|Algebra 1,editorial,geometry,coordinates,"開区間 (a, b) と同じ形",
