id,situation,ja,en,level,source,merged_from
explaining-solution-matches-the-other-way,explaining-solution,別の方法で出した答えと一致します。,"This matches what we got the other way. ／ Same answer as before, so it's probably right.",all,editorial,
explaining-solution-another-way,explaining-solution,平方完成を使う別の解き方もあります。,Another way to do it is to complete the square. ／ You could also …,all,editorial,
explaining-solution-by-symmetry,explaining-solution,対称性から残りの半分も同じなので、2 倍しました。,"By symmetry, the other half is the same, so I just doubled it.",all,editorial,
explaining-solution-derivative-equal-to-zero,explaining-solution,微分して 0 とおきました。,I took the derivative and set it equal to zero.,数II|数III|AP Calculus AB|Calculus I,editorial,
explaining-solution-checked-the-endpoints,explaining-solution,端点での値も調べました。,I also checked the endpoints.,数III|AP Calculus AB|Calculus I,editorial,
explaining-solution-used-a-calculator,explaining-solution,最後は電卓で近似値を出しました。,I used my calculator to get a decimal approximation at the end.,all,editorial,
explaining-solution-rounded-at-the-end,explaining-solution,途中では丸めず、最後に丸めました。,I didn't round until the very end. ／ I kept the exact value until the last step.,all,editorial,
explaining-solution-im-assuming,explaining-solution,速さが一定だと仮定しています。,I'm assuming the speed is constant. ／ This only works if …,all,editorial,
explaining-solution-rewrote-it-as,explaining-solution,(x − 3)² + 1 の形に書き直しました。,I rewrote it as (x − 3)^2 + 1. ／ I rewrote the fraction as …,all,editorial,
explaining-solution-tried-small-cases,explaining-solution,まず小さい場合をいくつか試しました。,I tried a few small cases first to see what happens.,all,editorial,
explaining-solution-otherwise-contradiction,explaining-solution,もし成り立たないとすると矛盾が出るので、成り立ちます。,"If it weren't true, we'd get a contradiction, so it has to be true.",数I|Geometry|大学,editorial,
written-solution-let,written-solution,売れたチケットの枚数を x とする。,Let x be the number of tickets sold. ／ Let x denote …,all,editorial; PLAN §9 Phase 3; OpenStax,
written-solution-suppose,written-solution,f(a) = f(b) とする（と仮定する）。,Suppose that f(a) = f(b). ／ Assume that …,all,editorial; PLAN §9 Phase 3; OpenStax,
written-solution-suppose-for-contradiction,written-solution,√2 が有理数であると仮定する（背理法）。,"Suppose, for the sake of contradiction, that √2 is rational. ／ Assume to the contrary that …",数I|Geometry|大学,editorial,
written-solution-then,written-solution,すると f′(x) = 2x − 4 である。,Then f′(x) = 2x − 4.,all,editorial; PLAN §9 Phase 3,
written-solution-which-implies,written-solution,2x = 6 となり、x = 3 である。,"2x = 6, which implies x = 3. ／ 2x = 6, so x = 3. ／ 2x = 6 ⟹ x = 3 ／ It follows that f is increasing on (0, ∞).",all,editorial; PLAN §9 Phase 3; OpenStax,written-solution-it-follows-that
written-solution-as-desired,written-solution,以上で示された。,"…, as desired. ／ …, as required. ／ …, which is what we wanted to show. ／ ∎ ／ Q.E.D. ／ This completes the proof.",数II|Geometry|大学,editorial; PLAN §9 Phase 3; OpenStax,written-solution-qed
written-solution-note-that,written-solution,ここで、すべての x について x² + 1 > 0 であることに注意する。,Note that x^2 + 1 > 0 for all x. ／ Notice that …,all,editorial; OpenStax,
written-solution-similarly,written-solution,同様にして BD = CE である。,"Similarly, BD = CE. ／ By the same argument, …",all,editorial; OpenStax,
written-solution-on-the-other-hand,written-solution,一方、,"On the other hand, …",all,editorial; OpenStax,
written-solution-we-have,written-solution,f(2) = 5 であるから、,"We have f(2) = 5, so … ／ We get …",all,editorial; OpenStax,
written-solution-taking-the-limit,written-solution,n → ∞ とすると、,"Taking the limit as n → ∞, we get … ／ Letting n → ∞, …",数III|AP Calculus BC|Calculus II,editorial,
written-solution-reject-extraneous,written-solution,x = −2 は不適。,"x = −2 is extraneous, so we reject it. ／ Since x > 0, x = −2 does not work.",数I|数II|Algebra 2,editorial; OpenStax,
written-solution-for-some-integer,written-solution,n = 2k + 1（k は整数）と表せる。,"n = 2k + 1 for some integer k. ／ …, where k is an integer.",数A|Discrete Math,editorial; OpenStax,
written-solution-case,written-solution,(i) x ≥ 0 のとき,Case 1: x ≥ 0. ／ Case 2: x < 0.,all,editorial,
written-solution-final-answer,written-solution,答　x = 3,Answer: x = 3 ／ The solution is x = 3.,all,editorial,
written-solution-combining,written-solution,(1)、(2) より（以上より）、,"Combining (1) and (2), we get … ／ From (1) and (2), … ／ Putting this together, …",all,editorial,
written-solution-by-induction,written-solution,以上より、数学的帰納法によってすべての自然数 n について成り立つ。,"By induction, the statement holds for all n ≥ 1. ／ By mathematical induction, …",数B|Algebra 2|大学,editorial,
written-solution-it-suffices-to-show,written-solution,f′(x) > 0 を示せば十分である。,It suffices to show that f′(x) > 0. ／ It is enough to show that …,数II|大学,editorial; OpenStax,
written-solution-given-prove,written-solution,仮定：AB = CD　結論：△ABC ≡ △CDA,Given: AB ≅ CD. Prove: △ABC ≅ △CDA.,中2|Geometry,editorial,
written-solution-i-e,written-solution,すなわち、,"i.e., … ／ that is, …",all,editorial; OpenStax,
written-solution-by-the-theorem,written-solution,三平方の定理より AC = 5。,"By the Pythagorean Theorem, AC = 5. ／ By the Mean Value Theorem, …",all,editorial; OpenStax,
written-solution-hypotheses-are-met,written-solution,"f は [1, 3] で連続、(1, 3) で微分可能なので、平均値の定理が使える。","Since f is continuous on [1, 3] and differentiable on (1, 3), the Mean Value Theorem applies. ／ …, so L'Hôpital's rule applies.",数III|AP Calculus AB|Calculus I,"editorial; CED (""show that the rule applies"")",
written-solution-conclusion-because-reason,written-solution,f′ が x = 2 で負から正に変わるので、f は x = 2 で極小となる。,"f has a relative minimum at x = 2 because f′ changes from negative to positive there. ／ f changes from increasing to decreasing at x = 2, so f has a relative maximum there. ／ f′ changes from positive to negative at x = 2.",AP Calculus AB|数II|数III,"editorial; CED (""changes from negative to positive"")",changes-from-increasing-to-decreasing
written-solution-from-the-graph,written-solution,グラフより、,"From the graph, …",all,editorial,
written-solution-no-solution,written-solution,よって解なし。,Therefore there is no solution. ／ The equation has no real solutions.,all,editorial; OpenStax,
written-solution-let-epsilon-be-given,written-solution,任意の ε > 0 に対して、,"Let ε > 0 be given. ／ For any ε > 0, …",大学,editorial,
exam-show-that,exam,〜であることを示せ。,"Show that f has a zero on [0, 1].",all,editorial; OpenStax; CED,
exam-justify-your-answer,exam,理由を述べよ。,Justify your answer. ／ Give a reason for your answer.,AP Calculus AB|AP Calculus BC|AP Statistics,editorial; CED,
exam-explain-your-reasoning,exam,考え方を説明せよ。,Explain your reasoning.,all,editorial; OpenStax; CED (AP Statistics),
exam-show-your-work,exam,途中の過程も書け。,"Show the work that leads to your answer. ／ Show your work. ／ No work, no credit. ／ Answers without supporting work will receive no credit.",all,editorial; CED; OpenStax,exam-no-work-no-credit
exam-exact-form,exam,近似値ではなく、正確な値で答えよ。,Leave your answer in exact form. ／ Give an exact answer.,all,editorial; OpenStax,
exam-three-decimal-places,exam,（電卓問題）小数点以下 3 桁まで正確に答えよ。,Give your answer correct to three decimal places. ／ three places after the decimal point,AP Calculus AB|AP Calculus BC,editorial; CED,
exam-simplest-form,exam,最も簡単な形（既約分数）で答えよ。,Write your answer in simplest form. ／ Express your answer as a fraction in lowest terms.,all,editorial; OpenStax,
exam-express-in-terms-of,exam,y を x の式で表せ。,Express y in terms of x. ／ Write your answer in terms of x. ／ Express vector AB in terms of a and b. ／ Write AB as a vector.,all,editorial; OpenStax,express-as-a-vector
exam-determine-whether,exam,この級数が収束するか発散するか判定せよ。,Determine whether the series converges or diverges.,all,editorial; CED; OpenStax,
exam-interpret-in-context,exam,f′(5) の意味を、問題の状況に即して説明せよ。,Interpret the meaning of f′(5) in the context of the problem. ／ State your conclusion in context.,AP Calculus AB|AP Statistics|数III|数B,editorial; CED,
exam-indicate-units,exam,単位をつけて答えよ。,Indicate units of measure. ／ Use appropriate units.,AP Calculus AB|AP Calculus BC,editorial; CED,
exam-use-the-table-to-approximate,exam,表のデータを用いて R′(5) の近似値を求めよ。,Use the data in the table to approximate R′(5). ／ Show the computations that lead to your answer.,AP Calculus AB|AP Calculus BC,editorial; CED,
exam-write-an-equation-for-the-tangent-line,exam,x = 2 における y = f(x) の接線の方程式を求めよ。,Write an equation for the line tangent to the graph of f at x = 2.,数II|AP Calculus AB|Calculus I,editorial; CED,
exam-describe-the-distribution,exam,分布の形・中心・散らばりを述べよ。,"Describe the shape, center, and variability of the distribution. ／ Describe the distribution.",数I|AP Statistics,editorial; CED (AP Statistics),
exam-which-of-the-following,exam,次のうち正しいものを選べ。,Which of the following is true? ／ Which of the following could be the graph of f?,all,editorial; CED,
exam-set-up-but-do-not-evaluate,exam,積分の式を立てるだけでよい（計算しなくてよい）。,"Set up, but do not evaluate, an integral for the volume. ／ Write, but do not evaluate, an integral expression.",数III|AP Calculus AB|Calculus I,editorial; OpenStax,
exam-label-your-axes,exam,軸に名前と目盛りを書け。,Label your axes. ／ Label the diagram.,all,editorial,
exam-box-your-answer,exam,最終的な答えを四角で囲め。,Box your final answer. ／ Circle your answer.,all,editorial; PLAN §15,
exam-calculator-allowed,exam,この部分は電卓使用可（不可）です。,Calculators are allowed on this part. ／ This section is non-calculator. ／ Calculator Not Permitted,all,editorial; CED,
exam-multiple-choice-and-free-response,exam,試験は選択問題と記述問題に分かれています。,The exam has a multiple-choice section and a free-response section.,all,editorial; CED,
exam-partial-credit,exam,部分点があるので、分かるところは書きなさい。,"You can get partial credit, so write down what you know.",all,editorial,
exam-notes-allowed,exam,ノート 1 枚（両面）まで持ち込みできます。,"You can bring one page of notes, front and back. ／ This is a closed-book exam.",all,editorial,
exam-time-remaining,exam,残り 10 分です。,You have 10 minutes left. ／ Ten minutes remaining.,all,editorial,
exam-pencils-down,exam,時間です。筆記用具を置いてください。,Time's up — pencils down. ／ Please stop writing.,all,editorial,
exam-ask-typo,exam,4 番の問題文、誤植ではありませんか。,Is there a typo in number 4? ／ Should this be f(2) instead of f(3)?,all,editorial,
exam-ask-scratch-paper,exam,計算用紙をもう 1 枚いただけますか。,Could I have another sheet of scratch paper?,all,editorial,
exam-ask-can-i-write-on-the-back,exam,裏に書いてもいいですか。,Can I write on the back?,all,editorial,
exam-ask-how-much-time,exam,あと何分ありますか。,How much time is left?,all,editorial,
exam-when-do-we-get-it-back,exam,テストはいつ返却されますか。,When will we get the exams back?,all,editorial,
exam-is-it-curved,exam,この試験は得点調整（カーブ）がありますか。,Is the exam curved? ／ Will there be a curve?,大学,editorial,
email-subject-line,email,件名：MATH 221 セクション 3 ― 課題 5 についての質問,Subject: MATH 221 Sec. 3 – Question about HW 5,大学,editorial,
email-greeting,email,〜先生（メールの書き出し）,"Dear Professor Smith, ／ Hi Professor Smith, ／ Hello Dr. Smith,",大学,editorial,
email-introduce-yourself,email,月水金 10 時の MATH 221 を受講している山田太郎です。,"My name is Taro Yamada, and I'm in your MATH 221 section that meets MWF at 10.",大学,editorial,
email-writing-to-ask,email,課題の 4 番についてお伺いしたく、ご連絡しました。,I'm writing to ask about problem 4 on the homework.,大学,editorial,
email-describe-where-stuck,email,3 番は積分の式を立てるところまではできたのですが、絶対値の扱いが分かりません。,"For problem 3, I got as far as setting up the integral, but I'm not sure how to handle the absolute value.",大学,editorial,
email-missed-class,email,水曜日の授業を欠席してしまいました。何か補っておくべきことはありますか。,I'm sorry I had to miss class on Wednesday. Is there anything I should do to catch up?,大学,editorial,
email-cannot-make-office-hours,email,オフィスアワーの時間は授業があるため、別の時間にお会いできないでしょうか。,I have a class during your office hours. Would it be possible to meet at another time?,大学,editorial,
email-regrade-request,email,中間試験の 2 番の採点について、見直しをお願いできないでしょうか。答案のスキャンを添付します。,I'd like to ask about the grading on problem 2 of the midterm. I've attached a scan of my work.,大学,editorial,
email-extension,email,月曜から体調を崩しており、課題 6 の提出期限を少し延ばしていただくことは可能でしょうか。,Would it be possible to get a short extension on Homework 6? I've been sick since Monday.,大学,editorial,
email-attached,email,解答を PDF で添付しました。,I've attached my work as a PDF. ／ Please see the attached file.,大学,editorial,
email-dictionary-during-exam,email,英語が母語ではないため、試験中に紙の英和辞書を使ってもよいか伺いたいです。,English is not my first language. Would it be possible for me to use a paper bilingual dictionary during the exam?,大学,editorial,
email-exam-conflict,email,期末試験の時間が別の試験と重なっています。別の時間に受けることはできますか。,I have a conflict with the final exam time. Would it be possible to take it at a different time?,大学,editorial,
email-prerequisite,email,日本で数学 III を履修しましたが、MATH 221 の前提科目を満たしますか。,I took calculus in Japan (Math III). Would that satisfy the prerequisite for MATH 221?,大学,editorial,
email-confirm,email,金曜日の小テストに 4.3 節も含まれるか確認させてください。,Could you confirm whether the quiz on Friday covers Section 4.3?,大学,editorial,
email-follow-up,email,先週お送りしたメールの件で、改めてご連絡しました。,I just wanted to follow up on my email from last week.,大学,editorial,
email-thank-you-for-your-time,email,お忙しいところありがとうございます。,Thank you for your time. ／ Thanks in advance.,大学,editorial,
email-sign-off,email,（結び・署名）,"Best, Taro Yamada ／ Sincerely, ／ Thanks,",大学,editorial,
group-study-work-together,group-study,一緒に課題やらない？,Do you want to work on the problem set together? ／ Want to study for the midterm together?,all,editorial,
group-study-where-to-meet,group-study,7 時に図書館でいい？,Does 7 at the library work? ／ Let's meet at the library at 7.,all,editorial,
group-study-what-did-you-get,group-study,5 番、答え何になった？,What did you get for number 5?,all,editorial,
group-study-how-did-you-get-that,group-study,私は違う答えになった。どうやったか見せて。,I got something different — can you show me how you got that?,all,editorial,
group-study-you-dropped-a-sign,group-study,ここ、マイナスが抜けてると思う。,I think you dropped a negative sign. ／ I think you forgot the 2 here.,all,editorial,
group-study-split-them-up,group-study,何問かずつ分担して、あとで説明し合おう。,Let's each do a few and then explain them to each other. ／ Should we split them up?,all,editorial,
group-study-write-up-our-own,group-study,相談はいいけど、答案はそれぞれ自分で書かないといけないよ。,"We can talk about the problems, but we have to write up our own solutions.",大学,editorial,
group-study-answer-key-wrong,group-study,解答が間違ってる気がする。何回やっても 13 になる。,"I think the answer key might be wrong. ／ The back of the book says 12, but I keep getting 13.",all,editorial,
group-study-ask-the-ta,group-study,TA に聞いてみようか。,Should we ask the TA? ／ Let's ask at office hours.,all,editorial,
group-study-can-i-see-your-notes,group-study,月曜のノート見せてもらってもいい？,Can I see your notes from Monday?,all,editorial,
group-study-quiz-each-other,group-study,問題出し合おう。,Let's quiz each other.,all,editorial,
group-study-not-sure-but,group-study,自信ないけど、4 だと思う。,"I'm not sure, but I think it's 4. ／ Don't quote me on this, but …",all,editorial,
group-study-oh-that-makes-sense,group-study,あ、なるほど！,"Oh, that makes sense now. ／ Ohh, I see.",all,editorial,
group-study-practice-exam,group-study,時間を計って模擬試験を解こう。,Let's do the practice exam under timed conditions. ／ Let's go over the practice exam.,all,editorial,
group-study-what-is-it-asking,group-study,この問題、何を聞いてるの？,What is this question even asking? ／ What are they asking for here?,all,editorial,
group-study-where-do-we-start,group-study,これ、どこから手をつける？,Where do we even start with this one? ／ Any ideas for number 7?,all,editorial,
discord-anyone-get,discord,3 番解けた人いる？,Did anyone get #3? ／ anyone figure out 3?,all,editorial,
discord-due-tonight,discord,課題って今夜 11:59 締め切り？,Is the hw due tonight at 11:59?,all,editorial,
discord-can-someone-explain,discord,ここで極限が 0 になる理由、誰か説明してくれない？,Can someone explain why the limit is 0 here?,all,editorial,
discord-here-is-my-work,discord,途中までの計算貼るね。どこが違う？,Here's my work so far — where did I go wrong?,all,editorial,
discord-hint-no-spoilers,discord,ヒントだけちょうだい。答えは書かないで。,Can someone give me a hint? No full solutions pls.,all,editorial,
discord-nvm-figured-it-out,discord,ごめん、自己解決した。,"nvm, figured it out ／ never mind, got it",all,editorial,
discord-thanks,discord,ありがとう、助かった！,"ty! ／ thanks, that helped",all,editorial,
discord-same-answer,discord,自分も 12 になった。,"Same, I got 12 too. ／ +1",all,editorial,
discord-notes-from-today,discord,今日の講義ノート持ってる人いる？,Does anyone have notes from today's lecture?,大学,editorial,
discord-office-hours-today,discord,今日のオフィスアワーってある？,Are office hours still happening today?,大学,editorial,
discord-quiz-covers,discord,小テストって 4.3 も入る？,Is 4.3 on the quiz too? ／ Does the quiz cover 4.3?,all,editorial,
discord-when-is-the-midterm,discord,中間いつだっけ？,When's the midterm again?,all,editorial,
discord-typo-in-the-pset,discord,課題の 5 番、誤植っぽくない？,I think there's a typo in #5 on the pset.,all,editorial,
discord-right-channel,discord,微積の質問ってここでいい？,Is this the right channel for calc questions?,all,editorial,
discord-study-on-a-call,discord,今夜通話で勉強しない？,Anyone want to hop on a call and study tonight?,all,editorial,
